espn_id,full_name,salary,position,team_id
16760,"Jimmy Garoppolo",4500,"QB","NE"
14037,"Ryan Mallett",4500,"QB","NE"
15478,"Brandon Bolden",4500,"RB","NE"
17147,"Roy Finch",4500,"RB","NE"
16838,"Tyler Gaffney",4500,"RB","NE"
15364,"Jonas Gray",4500,"RB","NE"
14028,"Stevan Ridley",4500,"RB","NE"
14017,"Shane Vereen",4500,"RB","NE"
16913,"James White",4500,"RB","NE"
13940,"James Develin",4500,"FB","NE"
11674,"Danny Amendola",4500,"WR","NE"
15998,"Josh Boyce",4500,"WR","NE"
15834,"Aaron Dobson",4500,"WR","NE"
12649,"Julian Edelman",4500,"WR","NE"
16828,"Jeremy Gallon",4500,"WR","NE"
12576,"Brandon LaFell",4500,"WR","NE"
12589,"Greg Orton",4500,"WR","NE"
11387,"Matthew Slater",4500,"WR","NE"
16381,"Kenbrell Thompkins",4500,"WR","NE"
13387,"Michael Hoomanawanui",4500,"TE","NE"
16285,"Tim Wright",4500,"TE","NE"
15252,"Brian Tyms",4500,"WR","NE"
13229,"Rob Gronkowski",4500,"TE","NE"
14581,"Danny Aiken",4500,"C","NE"
16295,"Braxston Cave",4500,"C","NE"
11786,"Ryan Wendell",4500,"C","NE"
14116,"Marcus Cannon",4500,"OT","NE"
16385,"Jordan Devey",4500,"OT","NE"
16932,"Cameron Fleming",4500,"OT","NE"
13863,"Steve Maneri",4500,"OT","NE"
17362,"Chris Martin",4500,"OT","NE"
13964,"Nate Solder",4500,"OT","NE"
12626,"Sebastian Vollmer",4500,"OT","NE"
9298,"Dan Connolly",4500,"OG","NE"
16842,"Jon Halapio",4500,"OG","NE"
16403,"Josh Kline",4500,"OG","NE"
15607,"Ben Bass",4500,"DE","NE"
14960,"Jake Bequette",4500,"DE","NE"
15959,"Michael Buchanan",4500,"DE","NE"
14927,"Chandler Jones",4500,"DE","NE"
16959,"Zach Moore",4500,"DE","NE"
9721,"Rob Ninkovich",4500,"DE","NE"
16721,"Dominique Easley",4500,"DT","NE"
15955,"Chris Jones",4500,"DT","NE"
17204,"Eathyn Manumaleuna",4500,"DT","NE"
14441,"Sealver Siliga",4500,"DT","NE"
17455,"LT Tuipulotu",4500,"DT","NE"
16421,"Joe Vellano",4500,"DT","NE"
5546,"Vince Wilfork",4500,"DT","NE"
14967,"Jerel Worthy",4500,"DT","NE"
15988,"Steve Beauharnais",4500,"LB","NE"
15830,"Jamie Collins",4500,"LB","NE"
16559,"Ja'Gared Davis",4500,"LB","NE"
15080,"Darius Fleming",4500,"LB","NE"
17159,"Cameron Gordon",4500,"LB","NE"
14933,"Dont'a Hightower",4500,"LB","NE"
11244,"Jerod Mayo",4500,"LB","NE"
17436,"Taylor McCuller",4500,"LB","NE"
14201,"Chris White",4500,"LB","NE"
11494,"Kyle Arrington",4500,"CB","NE"
9250,"Brandon Browner",4500,"CB","NE"
15053,"Alfonzo Dennard",4500,"CB","NE"
10458,"Darrelle Revis",4500,"CB","NE"
15861,"Logan Ryan",4500,"CB","NE"
17435,"Malcolm Butler",4500,"DB","NE"
16394,"Kanorris Davis",4500,"DB","NE"
15125,"Nate Ebner",4500,"DB","NE"
17154,"Shamiel Gary",4500,"DB","NE"
16304,"Daxton Swanson",4500,"DB","NE"
